timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll,label
1573698934000,0,0.354243253030044,9.87372086793746,-0.910470474409106,-1.2565498,0.83260936,0.08155051,355.56113,-103.39005,12.48582,STD
1573703631000,0.004697,0.352892941257786,9.8741709574484,-0.919697606419512,-1.178359,0.8072584,0.077579886,355.48288,-103.22881,12.385142,STD
1573708640000,0.009706,0.351452934515772,9.8746509443252,-0.92953765416065,-1.1328496,0.7119634,0.07513642,355.42557,-103.07286,12.291975,STD
1573713670000,0.014736,0.350006890612333,9.8751329435247,-0.939418955845203,-1.0250319,0.59559363,0.07544186,355.38382,-102.936066,12.199808,STD
1573718636000,0.019702,0.348579245677048,9.87560880993121,-0.949174531226016,-0.9059132,0.45570546,0.065973446,355.37817,-102.80608,12.103737,STD
1573723628000,0.024694,0.347144126160951,9.87608716778487,-0.958981182917724,-0.79351395,0.29779682,0.043982297,355.41275,-102.68598,12.003351,STD
1573728573000,0.029639,0.345722518387092,9.87656102186867,-0.968695504355122,-0.65026605,-0.06872234,-0.008246681,355.54895,-102.57171,11.886142,STD
1573733885000,0.034951,0.344195404030219,9.8770700436873,-0.979130787565529,-0.1518,-0.2275473,-0.028405234,355.67087,-102.506645,11.774459,STD
1573738603000,0.039669,0.342839055096535,9.87752214552095,-0.98839917351935,-0.007330383,-0.267559,-0.007330383,355.86368,-102.42105,11.655537,STD
1573743582000,0.044648,0.341407672870844,9.87799925765103,-0.99818028705561,-0.03390302,-0.33017266,0.0125227375,356.10672,-102.36317,11.527006,STD
1573748577000,0.049643,0.339971690903114,9.87847790297936,-1.0079928321678,-0.013439035,-0.38453966,0.032375857,356.35703,-102.33314,11.403766,STD
1573753560000,0.054626,0.338539158741914,9.878955398409,-1.01778180359805,0.009468411,-0.4382958,0.055588737,356.62323,-102.30964,11.285487,STD
