timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll,label,person_id
4122885402000,0.0,3.23809065585065,8.13232949215994,4.24576737406899,0.049480084,-0.0076358155,-0.013744468,273.7367,-67.5933,16.014387,CHU,6
12925658495000,0.0,5.64423377684771,2.86833107852183,7.32382413614308,-0.029932396,0.016187929,0.014660766,242.9444,-18.781696,17.40841,CHU,45
1339017530000,0.0,-2.50955109935825,-2.41314150143763,8.88684919394123,-0.035124753,0.0036651916,0.009162978,113.36582,16.452131,-17.527372,CHU,1
12818065468000,0.0,6.63319407027147,2.80805015215843,6.49660819283489,-0.03268129,0.008552114,0.01160644,289.38538,-53.364044,23.00299,CHU,45
3819654863000,0.0,4.07156851630235,6.14754225374695,6.23469882023602,0.028710667,0.029321533,0.067500606,305.67136,-38.61917,29.40522,CHU,3
3902967046000,0.0,4.67778227041952,6.54944058977075,5.68026085027882,-0.027794369,0.00030543262,-0.0027488936,272.761,-55.308655,24.666134,CHU,3
3842658207000,0.0,4.52821733908386,5.82592288816422,6.34771455675301,-0.05467244,0.011911872,0.022296581,283.82336,-57.64408,19.364603,CHU,3
3924221721000,0.0,4.45474129468206,6.65740703332752,5.41440628192074,-0.035124753,0.008857546,0.019547688,290.63837,-54.977123,24.591,CHU,3
12885169872000,0.0,6.30326678658998,3.69225398683215,6.3589997,-0.033292156,0.0018325958,0.015577064,295.8966,-50.009647,20.731314,CHU,45
4103166171000,0.0,4.15424005636478,8.56893681192643,2.66002199810642,0.030848695,-0.03940081,-0.040927973,269.33606,-70.78989,17.15842,CHU,6
12795797256000,0.0,6.86648034857676,2.35585853943071,6.45536270014643,-0.028710667,0.01160644,0.022907447,294.2406,-12.297518,44.250984,CHU,45
1400082581000,0.0,-2.15258680423315,-0.433471451588703,9.33663637838809,-0.12492194,0.05222898,0.04734206,92.88115,6.8881373,-17.271826,CHU,1
2228641960000,0.0,3.63876358996171,7.92072401673049,4.40926786026671,0.03145956,-0.018936822,0.014049901,260.68173,-67.90942,13.829763,CHU,5
77671334628000,0.0,1.33295411987331,1.25704393261261,9.36822979005635,-0.04184427,-0.002443461,0.017104227,282.91284,-45.532127,-6.715706,CHU,2
19842188940000,0.0,7.02907141940225,1.27680595108859,6.58899515802591,-0.03848451,0.02076942,0.020158553,277.47525,-44.148663,24.940224,CHU,12
1525416394000,0.0,1.22198130947557,9.39268922487986,2.4762610621367,-0.028099801,0.008857546,0.018020526,293.78723,-71.77286,8.510558,CHU,5
19927525174000,0.0,7.13920836293064,1.25097204965549,6.36438417551677,-0.016798794,0.0076358155,-0.0061086523,311.6136,-27.953432,35.904224,CHU,12
77772836743000,0.0,1.69249579712339,1.40345883758516,9.356541,-0.02321288,-0.00061086525,0.0143553335,270.69913,-45.17949,1.3936837,CHU,2
1405588478000,0.0,9.33699923312207,0.995793893080387,2.71512165244691,-0.019242255,0.0070249503,0.007330383,289.66574,-35.956654,51.71341,CHU,20
